BUS_SERVICE_NAME_TXT,OPR_DESC_TXT,ORIG_DEST_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,BUS_STOP_CD,BUS_STOP_DESC_TXT,RD_NAM_TXT,LONGTD_TXT,LATTD_TXT,OP_HR_TXT,FARE_TXT
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,7,10099,Opp Bukit Merah Town Centre,Jalan Bukit Merah,103.8178396,1.283941086,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,8,10089,Blk 119,Jalan Bukit Merah,103.8216566,1.282923322,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,9,10079,Blk 201,Jalan Bukit Merah,103.8270891,1.280395014,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,10,54301,Blk 5022,Ang Mo Kio Avenue 3,103.8628468,1.370195005,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,11,66101,Blk 516,Ang Mo Kio Avenue 3 ,103.8652534,1.371141961,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,12,64101,Opp Gracehaven Salvation Army,Yio Chu Kang Road ,103.8734072,1.373655,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,13,64491,Hougang 1,Hougang Avenue 9 ,103.8752642,1.372976443,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,14,64481,Bet Blks 930/931,Hougang Avenue 9 ,103.8768429,1.375941883,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,15,64471,Blk 917,Hougang Avenue 9 ,103.8783096,1.379186664,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,16,64351,Opp Montfort School,Hougang Avenue 8,103.8826019,1.379369444,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,17,64361,Blk 535,Hougang Avenue 8,103.8857647,1.379568333,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,18,64579,Bet Blks 544/546,Hougang Avenue 6,103.8880564,1.38154,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,19,-,Passenger pick-up/ drop-off point outside Buangkok Station,Sengkang Central,103.8930001,1.3829843,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,20,67261,Blk 203B,Sengkang East Avenue,103.8946421,1.386587413,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,21,67211,Blk 208 carpark,Sengkang East Avenue,103.8976592,1.383938281,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,22,65021,Opp Blk 110,Punggol Road,103.8996135,1.384031362,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,23,65031,Blk 227D,Punggol Road,103.9016264,1.387118273,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,24,65041,Blk 231,Punggol Road,103.9016227,1.389844124,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,25,67111,CHIJ St. Joseph's Convent,Sengkang East Way ,103.9023725,1.391053694,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,26,67121,Blk 142A,Sengkang East Way ,103.9051829,1.389504756,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,27,67531,Blk 158C,Sengkang East Way ,103.9067669,1.387868072,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,28,67521,Blk 160,Sengkang East Drive,103.9083801,1.387145366,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,29,65521,Waterwoods,Punggol East,103.9129427,1.390317667,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,30,65179,Coral Edge Station Exit A,Punggol Field,103.9119024,1.394295828,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,31,65169,Meridian Station Exit A,Punggol Field,103.9092919,1.396434688,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 729,K.H.Ng Bus Transport Pte Ltd,Punggol Field - Alexandra Road,2,32,65159,Cove Station Exit A,Punggol Field,103.9066529,1.398568723,One trip at 6.00pm, $5.50 (card) / $6.50 (cash )
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,1,76351,Blk 484,Tampines Avenue 9,103.9530913,1.362138224,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,2,76361,Blk 430,Tampines Avenue 9,103.9503227,1.36002525,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,3,75591,Bef Blk 631B,Tampines Avenue 12 ,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,4,75579,Blk 630B,Tampines North Drive 2 ,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,5,75569,Blk 636C,Tampines North Drive 2 ,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,6,75489,Opp Blk 609D,Tampines Avenue 6 ,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,7,75479,Blk 619A,Tampines Avenue 6 ,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,8,75271,Blk 721,Tampines Avenue 9,103.936015,1.360248334,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,9,75339,Blk 734,Tampines Street 71,103.9341521,1.358463099,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,10,75159,Blk 874,Tampines Avenue 8,103.9314664,1.354051152,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,11,75039,Springfield Secondary School,Tampines Avenue 8,103.9295682,1.35065772,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,12,75259,Tropica Condominium,Tampines Avenue 1,103.9279803,1.349138056,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,13,3223,Tanjong Pagar Station Exit C,Anson Road,103.8463247,1.275703395,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,14,3151,Aft Telok Ayer St,Cecil Street,103.8477623,1.278921246,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,15,3021,Prudential Tower,Cecil Street,103.849989,1.282555246,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,16,-,Clifford Centre,Collyer Quay,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,17,3011,Fullerton Square,Fullerton Road,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,18,2151,Suntec Convention Centre,Temasek Boulevard,,,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 736,City Transit Pte Ltd,Tampines Avenue 9 to Temasek Boulevard,1,19,2141,Suntec Tower Two,Temasek Boulevard,103.8593381,1.295765716,One trip at 7.35am," Adult: $3.30 (card) / $4 (cash)
Child: $2.00 (card / cash) "
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,1,58341,Blk 405,Sembawang Drive,103.8168777,1.452679929,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,2,58311,Blk 354 Car Park,Sembawang Drive,103.8181046,1.450197954,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,3,58219,Opp Sembawang Station,Sembawang Way,103.8199297,1.449534637,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,4,58159,After Admiral Hill,Canberra Road,,,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,5,58109,Opp Blk 311,Canberra Road,103.823093,1.446676079,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,6,58029,Aft Canberra Road,Sembawang Road,103.8239851,1.443159194,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,7,58019,Aft Sembawang Shopping Centre,Sembawang Road,103.82473,1.440851088,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,8,57139,Aft Jalan Kemuning,Sembawang Road,103.8255963,1.437956621,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,9,57129,Blk 114,Sembawang Road,103.8264145,1.434186569,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,10,59119,Opp Blk 701A,Yishun Avenue 5,103.8279487,1.43037444,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,11,59149,Blk 145,Yishun Avenue 5,103.83218,1.430618611,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,12,59069,Opp Blk 757,Yishun Avenue 2,103.8353696,1.426572948,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,13,59059,Blk 608,Yishun Avenue 2,103.8349794,1.420546029,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,14,59049,Opp Khatib Station,Yishun Avenue 2,103.8333998,1.417009982,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,15,59039,Yishun Sports Hall,Yishun Avenue 2,103.831563,1.413428716,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,16,96069,Mera Terrace Playground,Upper Changi Road East ,,,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,17,96049,Upper Changi Station/SUTD,Upper Changi Road East,,,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,18,96419,Eightrium,Changi South Avenue 1,103.9638595,1.3376443,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,19,-,IBM Place,Changi Business Park Avenue 1,103.9638594,1.3360398,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,20,96401,Honeywell Building,Changi Business Park Central 1,103.9659831,1.3367799,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,21,96361,Aft Akzonobel,Changi Business Park Central 2,103.966437,1.336491101,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,22,-,Plaza 8,Changi Business Park Central 1,103.9645692,1.3340451,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,23,96321,DBS Asia Hub,Changi South Avenue 2 ,103.9653246,1.332082717,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,24,96331,Premier,Changi South Avenue 2 ,,,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,25,96341,Aft Sunny Metal & Engrg,Changi South Avenue 2 ,,,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,1,26,96351,Before Changi South Street 1,Changi South Avenue 4 ,,,Three trips from 7.00am to 7.50am / 25 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,1,96419,Eightrium,Changi South Avenue 1,103.9638595,1.3376443,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,2,-,IBM Place,Changi Business Park Avenue 1,103.9638594,1.3360398,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,3,96401,Honeywell Building,Changi Business Park Central 1,103.9659831,1.3367799,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,4,96361,Aft Akzonobel,Changi Business Park Central 2,103.966437,1.336491101,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,5,-,Plaza 8,Changi Business Park Central 1,103.9645692,1.3340451,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,6,-,Plaza 8 Blk 1,Changi Business Park Crescent,103.9660716,1.3329524,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,7,-,Citibank,Changi Business Park Avenue 3,103.9663908,1.3342261,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,8,-,Bus stop outside Rigel Innovation Centre,Changi Business Park Vista,103.9675272,1.3372672,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,9,59031,Opp Yishun Sports Hall,Yishun Avenue 2,103.8308396,1.412777472,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,10,-,Pick-up/Drop-off point outside Khatib Station,Yishun Avenue 2,103.8332734,1.4176943,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,11,59061,Blk 763,Yishun Avenue 2,103.8349582,1.425563992,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,12,-,Pick-up/Drop-off point outside Yishun Station,Yishun Avenue 2,103.8345913,1.4303172,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,13,59141,Blk 741,Yishun Avenue 5,103.8327554,1.430343832,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,14,57111,Opp Blk 101,Sembawang Road,103.8265494,1.431236226,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,15,57121,Opp Blk 115B,Sembawang Road,103.8263113,1.433450833,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,16,57131,Opp Jalan Kemuning,Sembawang Road,103.8252975,1.438084138,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,17,58011,Opp Sembawang Shopping Centre,Sembawang Road,103.8241875,1.441356114,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,18,58021,Bef Canberra Road,Sembawang Road,103.8236786,1.44324137,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,19,58101,Blk 311,Canberra Road,103.8228228,1.446672778,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,20,58151,Bef Sembawang Station,Canberra Road,103.8220134,1.448359043,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,21,58211,Sembawang Station,Sembawang Way,103.819794,1.449262026,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,22,58319,Blk 357C,Sembawang Drive,103.8180219,1.449769339,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 740,MyBus Pte Ltd,Sembawang Drive - Changi Business Park,2,23,58349,Blk 478,Sembawang Drive,103.8164234,1.452731395,Two trips at 5.45pm and 6.20pm/ 35 min, $4.00 (card) / $4.50 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,1,66101,Blk 516,Ang Mo Kio Avenue 3,103.873259,1.370940455,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,2,64101,Opp Gracehaven Salvation Army,Yio Chu Kang Road,103.8765394,1.372121197,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,3,64491,Hougang 1,Hougang Avenue 9,103.8790517,1.375130278,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,4,64481,Bet Blks 930/931,Hougang Avenue 9,103.8807864,1.375144743,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,5,64471,Blk 917,Hougang Avenue 9,103.8839678,1.374548056,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,6,64351,Opp Montfort School,Hougang Avenue 8,103.8880821,1.374811105,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,7,64361,Blk 535,Hougang Avenue 8,103.8905489,1.376345092,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,8,64031,Blk 436,Hougang Avenue 8,103.8936608,1.376999957,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,9,64021,Blk 458,Hougang Avenue 10,103.8966385,1.377889502,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,10,65011,Opp The Rivervale,Punggol Road,103.8972095,1.381596968,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,11,65021,Opp Blk 110,Punggol Road,103.8996135,1.384031362,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,12,65031,Blk 227D,Punggol Road,103.9016264,1.387118273,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,13,65041,Blk 231,Punggol Road,103.9016227,1.389844124,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,14,96069,Mera Terrace Playground,Upper Changi Road East ,,,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,15,96049,Upper Changi Station/SUTD,Upper Changi Road East,,,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,16,96419,Eightrium,Changi South Avenue 1,103.9638595,1.3376443,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,17,-,The IBM Place,Changi Business Park Avenue 1,103.9638594,1.3360398,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,18,96401,Honeywell Building,Changi Business Park Central 1,103.9659831,1.3367799,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,19,96361,Aft Akzonoble House,Changi Business Park Central 2,103.966437,1.336491101,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,20,-,Plaza 8,Changi Business Park Central 1,103.9645692,1.3340451,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,21,96321,DBS Asia Hub,Changi South Avenue 2,103.9653246,1.332082717,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,22,96331,Premier,Changi South Avenue 2 ,,,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,23,96341,Aft Sunny Metal & Engrg,Changi South Avenue 2 ,,,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,1,24,96351,Before Changi South Street 1,Changi South Avenue 4 ,,,One trip at 7.30am, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,2,1,96419,Eightrium,Changi South Avenue 1,103.9638595,1.3376443,One trip at 6.00pm, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,2,2,-,The IBM Place,Changi Business Park Avenue 1,103.9638594,1.3360398,One trip at 6.00pm, $3.50 (card) / $4.00 (cash) 
PBS 742,MyBus Pte Ltd,Ang Mo Kio Avenue 3 - Changi Business Park,2,3,96401,Honeywell Building,Changi Business Park Central 1,103.9659831,1.3367799,One trip at 6.00pm, $3.50 (card) / $4.00 (cash) 
